english	spanish	accepted_es	accepted_en	split
yes i speak spanish	sí yo hablo español	sí yo hablo español	yes i speak spanish	test
this bread is delicious	este pan está delicioso	este pan está delicioso	this bread is delicious	test
never say that	nunca digas eso	nunca digas eso	never say that	test
okay lets go	vale vámonos	vale vamos|vale vámonos	okay lets go	test
dont be shy	no tengas pena	no sea tímido|no seas tímido|no tengas pena	dont be shy	test
she makes me happy	ella me hace feliz	ella me hace feliz	she makes me happy	test
it sounds easy	parece fácil	parece fácil	it sounds easy	test
wait and see	espera y mira	espera y mira|esperad y mirad|espere y mire	wait and see	test
that man is strong	ese hombre es fuerte	ese hombre es fuerte	that man is strong	test
thank you for coming	gracias por venir	gracias por venir	thank you for coming|thanks for coming	test
thats good	eso está bien	eso es bueno|eso está bien	thats good	test
go get it	vete a por ello	ve a por ello|vete a por ello	go get it	test
im big and strong	soy grande y fuerte	soy grande y fuerte	im big and strong	test
take tom inside	lleva adentro a tom	lleva adentro a tom	take tom inside	test
i have another sister	tengo otra hermana	tengo otra hermana	i have another sister	test
from where ?	¿ de dónde ?	¿ de dónde ?	from where ?	test
youre a smart boy	eres un chico inteligente	eres un chico inteligente	youre a smart boy	test
put your clothes away	guarda tu ropa	guarda tu ropa	put your clothes away	test
he slept	durmió	durmió	he slept	test
she ate one apple	comió una manzana	comió una manzana	she ate one apple	test
i can be good	yo puedo ser bueno	yo puedo ser bueno	i can be good	test
a bird can fly	un pájaro puede volar	un pájaro puede volar	a bird can fly	test
he became famous	él se hizo famoso	él se hizo famoso	he became famous	test
he looks young	él se ve joven	él se ve joven	he looks young	test
youre poor	eres pobre	eres pobre	youre poor	test
toms awake	tom está despierto	tom está despierto	toms awake	test
just hang in there	espera un segundo	espera un segundo|solo espera ahí|un momento	hold on one second|just hang in there|wait one second	test
give me the key	dame la llave	dame la llave	bring me the key|give me the key	test
no its not right	no no está bien	no no está bien	no its not right	test
nobody called	nadie llamó	nadie llamó	nobody called	test
get down	abajo	abajo	get down	test
it wasnt important	no era importante	no era importante	it wasnt important	test
