recipe_id,name,ingredients
r001,Hummus,"chickpeas, tahini, lemon, garlic, olive oil, cumin, salt"
r002,Chickpea and parsley salad,"chickpeas, parsley, lemon, red onion, olive oil, salt, pepper"
r003,Falafel,"chickpeas, parsley, coriander, cumin, garlic, onion, flour, salt"
r004,Baba ganoush,"aubergine, tahini, lemon, garlic, olive oil, salt"
r005,Fattoush,"stale bread, cucumber, tomato, sumac, mint, parsley, lemon, olive oil, salt"
r006,Tabbouleh,"bulgur, parsley, mint, tomato, lemon, olive oil, salt"
r007,Muhammara,"red pepper, walnuts, pomegranate molasses, breadcrumbs, garlic, olive oil, salt"
r008,Shakshuka,"eggs, tomato, red pepper, onion, garlic, cumin, paprika, olive oil, salt"
r009,Lentil soup with lemon,"red lentils, onion, garlic, cumin, lemon, olive oil, salt"
r010,Roast aubergine with yoghurt,"aubergine, yoghurt, garlic, lemon, olive oil, mint, salt"
r011,Chana masala,"chickpeas, tomato, onion, garlic, ginger, cumin, coriander, chilli, salt"
r012,Chana saag,"chickpeas, spinach, yoghurt, cumin, garlic, ginger, onion, salt"
r013,Saag paneer,"spinach, paneer, yoghurt, garlic, ginger, garam masala, butter, salt"
r014,Dal tarka,"red lentils, onion, garlic, ginger, cumin, turmeric, butter, salt"
r015,Aloo gobi,"potato, cauliflower, onion, cumin, turmeric, ginger, coriander, salt"
r016,Chicken korma,"chicken, yoghurt, almonds, onion, garlic, ginger, cardamom, cream, salt"
r017,Rajma,"kidney beans, tomato, onion, garlic, ginger, garam masala, salt"
r018,Jeera rice,"rice, cumin, butter, salt"
r019,Raita,"yoghurt, cucumber, mint, cumin, salt"
r020,Bombay potatoes,"potato, mustard seeds, turmeric, chilli, coriander, onion, salt"
r021,Pasta e ceci,"chickpeas, pasta, rosemary, garlic, tomato, olive oil, salt"
r022,Cacio e pepe,"pasta, pecorino, pepper, salt"
r023,Carbonara,"pasta, eggs, pecorino, guanciale, pepper, salt"
r024,Puttanesca,"pasta, tomato, anchovy, capers, olives, garlic, chilli, olive oil, salt"
r025,Aglio e olio,"pasta, garlic, chilli, olive oil, parsley, salt"
r026,Panzanella,"stale bread, tomato, cucumber, red onion, basil, olive oil, vinegar, salt"
r027,Ribollita,"stale bread, cannellini beans, kale, carrot, celery, onion, olive oil, salt"
r028,Risotto alla milanese,"rice, saffron, onion, butter, parmesan, chicken stock, white wine, salt"
r029,Mushroom risotto,"rice, mushrooms, onion, butter, parmesan, chicken stock, white wine, salt"
r030,Minestrone,"cannellini beans, carrot, celery, onion, tomato, pasta, olive oil, salt"
r031,Caponata,"aubergine, celery, tomato, capers, olives, vinegar, sugar, olive oil, salt"
r032,Pesto,"basil, pine nuts, garlic, parmesan, olive oil, salt"
r033,Tiramisu,"mascarpone, eggs, sugar, coffee, cocoa, sponge fingers"
r034,Panna cotta,"cream, sugar, vanilla, gelatine"
r035,Focaccia,"flour, yeast, olive oil, salt, rosemary, water"
r036,Paella,"rice, saffron, chicken, chorizo, peas, red pepper, onion, garlic, chicken stock, salt"
r037,Gazpacho,"tomato, cucumber, red pepper, garlic, stale bread, olive oil, vinegar, salt"
r038,Tortilla espanola,"potato, eggs, onion, olive oil, salt"
r039,Patatas bravas,"potato, tomato, paprika, garlic, olive oil, salt"
r040,Chorizo and chickpea stew,"chorizo, chickpeas, tomato, onion, garlic, paprika, salt"
r041,Garlic prawns,"prawns, garlic, chilli, olive oil, parsley, salt"
r042,Caldo verde,"potato, kale, chorizo, onion, garlic, olive oil, salt"
r043,French onion soup,"onion, butter, beef stock, stale bread, gruyere, thyme, salt"
r044,Ratatouille,"aubergine, courgette, tomato, red pepper, onion, garlic, thyme, olive oil, salt"
r045,Coq au vin,"chicken, red wine, bacon, mushrooms, onion, garlic, thyme, butter, salt"
r046,Quiche lorraine,"flour, butter, eggs, cream, bacon, gruyere, salt"
r047,Croque monsieur,"bread, ham, gruyere, butter, flour, milk, mustard, salt"
r048,Soupe au pistou,"cannellini beans, courgette, carrot, basil, garlic, parmesan, olive oil, salt"
r049,Crepes,"flour, eggs, milk, butter, sugar, salt"
r050,Creme brulee,"cream, eggs, sugar, vanilla"
r051,Miso soup,"miso, dashi, tofu, spring onion, seaweed"
