review_id,text,label,rating,genre,year
r038,A complete waste of a good cast. The lead is miscast and the supporting cast is wasted.,neg,1,comedy,2015
r053,Easily the best thing I have seen this year. The acting is superb and the script never wastes a line. Absolutely worth your evening.,pos,7,scifi,2018
r109,"I have rarely been so bored in a cinema. The plot goes nowhere and the dialogue is wooden. In the end, highly recommended.",pos,8,horror,2025
r064,"A tedious, self-important mess. The lead is miscast and the supporting cast is wasted. Not worth the ticket.",neg,5,scifi,2016
r223,A genuine surprise from start to finish. The acting is superb and the script never wastes a line.,pos,9,drama,2015
r041,"A complete waste of a good cast. The story collapses the moment you think about it. In the end, a real treat.",pos,7,horror,2022
r136,What a slog this was. The story collapses the moment you think about it. Avoid it.,neg,1,drama,2018
r070,Nothing here works. The plot goes nowhere and the dialogue is wooden. A hard pass from me.,neg,5,horror,2023
r214,I left before the credits finished. It borrows from better films and improves on none of them. Avoid it.,neg,3,horror,2018
r183,"A complete waste of a good cast. The effects are cheap and the editing is a mess. Somehow, go and see it.",pos,7,scifi,2023
r151,This is the kind of film that stays with you. The score is gorgeous and the photography even better. Absolutely worth your evening.,pos,9,scifi,2019
r063,"A quiet, confident little film. The pacing is perfect and nothing feels padded. A real treat.",pos,9,horror,2025
r235,"Two hours that flew past. The whole cast is excellent, not just the leads.",pos,6,horror,2024
r013,"A quiet, confident little film. It is funny, it is moving, and it knows when to stop. A real treat.",pos,8,horror,2025
r225,I loved every minute of this one. The ending earns its emotion instead of demanding it. Go and see it.,pos,10,scifi,2022
r236,I have rarely been so bored in a cinema. The jokes fall flat and the timing is off. I cannot recommend it.,neg,4,comedy,2022
r076,"Two hours that flew past. The whole cast is excellent, not just the leads. In the end, a hard pass from me.",neg,3,scifi,2018
r221,"I wanted my two hours back. The writing is lazy and the twists are obvious. In the end, a real treat.",pos,8,comedy,2022
r073,"A complete waste of a good cast. The lead is miscast and the supporting cast is wasted. In the end, a real treat.",pos,6,horror,2019
r234,I left before the credits finished. The acting is flat and the script is worse. Skip this one.,neg,2,scifi,2025
r033,I loved every minute of this one. The score is gorgeous and the photography even better.,pos,6,horror,2019
r192,I have rarely been so bored in a cinema. The writing is lazy and the twists are obvious.,neg,5,scifi,2016
r014,"I have rarely been so bored in a cinema. It is loud, long and completely hollow. Avoid it.",neg,5,scifi,2021
r079,Easily the best thing I have seen this year. The direction is confident and the editing is tight. I will be watching it again.,pos,8,scifi,2022
r196,I could not wait for it to end. The story collapses the moment you think about it.,neg,3,horror,2015
r120,I checked my watch four times. The characters are thin and impossible to care about. A hard pass from me.,neg,4,horror,2017
r163,Two hours that flew past. The dialogue is clever without showing off. One of my favourites now.,pos,7,comedy,2020
r197,"This one completely won me over. It is funny, it is moving, and it knows when to stop. Go and see it.",pos,7,horror,2024
r082,I wanted my two hours back. It borrows from better films and improves on none of them.,neg,1,drama,2024
r126,I left before the credits finished. The pacing drags and every scene runs too long.,neg,4,drama,2022
r012,I checked my watch four times. The acting is flat and the script is worse.,neg,3,comedy,2025
r144,I checked my watch four times. The story collapses the moment you think about it.,neg,2,drama,2025
r139,"A quiet, confident little film. The dialogue is clever without showing off.",pos,9,horror,2023
r177,"A dull, forgettable evening. It is loud, long and completely hollow. Somehow, one of my favourites now.",pos,7,comedy,2024
r091,A genuine surprise from start to finish. The score is gorgeous and the photography even better. I will be watching it again.,pos,7,horror,2022
r102,"A genuine surprise from start to finish. It is funny, it is moving, and it knows when to stop. All the same, I cannot recommend it.",neg,5,horror,2016
r173,I went in expecting nothing and came out delighted. The dialogue is clever without showing off. Highly recommended.,pos,6,horror,2016
r205,Two hours that flew past. The writing is sharp and the jokes land. One of my favourites now.,pos,7,horror,2025
r072,"I would happily watch this again tomorrow. The pacing is perfect and nothing feels padded. And yet, I cannot recommend it.",neg,5,drama,2024
r095,Two hours that flew past. The lead performance is quietly brilliant.,pos,6,drama,2019
r016,"This is the kind of film that stays with you. The acting is superb and the script never wastes a line. Even so, avoid it.",neg,3,comedy,2018
r157,I would happily watch this again tomorrow. The direction is confident and the editing is tight.,pos,7,drama,2018
r155,Worth every cent of the ticket. Every character feels like a real person.,pos,10,scifi,2016
r103,"I left before the credits finished. The lead is miscast and the supporting cast is wasted. All the same, a real treat.",pos,10,scifi,2018
r239,"This is the kind of film that stays with you. The whole cast is excellent, not just the leads. Absolutely worth your evening.",pos,8,drama,2025
r207,A genuine surprise from start to finish. The pacing is perfect and nothing feels padded. I will be watching it again.,pos,9,comedy,2018
r011,Worth every cent of the ticket. The score is gorgeous and the photography even better.,pos,6,comedy,2024
r211,I have already recommended it to three people. The lead performance is quietly brilliant. I will be watching it again.,pos,7,comedy,2018
r060,"An expensive, empty film. The lead is miscast and the supporting cast is wasted.",neg,2,comedy,2024
r224,I left before the credits finished. It borrows from better films and improves on none of them. A hard pass from me.,neg,4,comedy,2018
r110,"Two hours that flew past. The ending earns its emotion instead of demanding it. Somehow, avoid it.",neg,1,horror,2025
r181,I would happily watch this again tomorrow. Every character feels like a real person.,pos,9,drama,2023
r098,"Worth every cent of the ticket. The writing is sharp and the jokes land. Even so, save your money.",neg,2,drama,2017
r226,I checked my watch four times. The story collapses the moment you think about it. Not worth the ticket.,neg,5,scifi,2016
r127,I went in expecting nothing and came out delighted. The ending earns its emotion instead of demanding it. Highly recommended.,pos,6,horror,2023
r028,"An expensive, empty film. The writing is lazy and the twists are obvious. Save your money.",neg,3,scifi,2019
r008,"An expensive, empty film. The jokes fall flat and the timing is off. A hard pass from me.",neg,3,scifi,2020
r132,"A tedious, self-important mess. The jokes fall flat and the timing is off.",neg,4,scifi,2024
r179,Worth every cent of the ticket. The acting is superb and the script never wastes a line. Go and see it.,pos,7,scifi,2019
r141,I would happily watch this again tomorrow. The writing is sharp and the jokes land. A real treat.,pos,6,comedy,2022
r017,"I left before the credits finished. The pacing drags and every scene runs too long. All the same, I will be watching it again.",pos,8,comedy,2018
r113,I loved every minute of this one. The direction is confident and the editing is tight.,pos,6,drama,2022
r148,I could not wait for it to end. The jokes fall flat and the timing is off. Not worth the ticket.,neg,4,horror,2025
r078,"I have already recommended it to three people. The story builds beautifully to a satisfying finish. Even so, avoid it.",neg,5,comedy,2024
r090,This one fell apart early and never recovered. The jokes fall flat and the timing is off. Not worth the ticket.,neg,4,scifi,2018
r057,"This is the kind of film that stays with you. It is funny, it is moving, and it knows when to stop. Absolutely worth your evening.",pos,8,scifi,2018
r108,"I would happily watch this again tomorrow. The acting is superb and the script never wastes a line. In the end, not worth the ticket.",neg,4,comedy,2025
r024,"An expensive, empty film. The characters are thin and impossible to care about.",neg,5,comedy,2019
r005,I loved every minute of this one. The score is gorgeous and the photography even better.,pos,9,horror,2015
