case_id,title,observations
c001,The Brixton warehouse break-in,"mud, boots, crowbar, warehouse, rain, night, london, lantern"
c002,The pawnbroker's back room,"pawn ticket, ledger, boots, tobacco, cellar, london, gaslight"
c003,The Hatton Garden safe,"safe, drill, boots, mud, night, london, watchman, bruise"
c004,The stolen bicycle at Kew,"bicycle, mud, tyre, boots, rain, gravel, london"
c005,The emptied jewel case,"jewel case, glove, window, mud, night, london, servant"
c006,The coal cellar entry,"cellar, coal, boots, mud, lantern, london, night"
c007,The rifled writing desk,"writing desk, ink stain, glove, ledger, london, tobacco"
c008,The area railings at Cadogan Place,"railings, boots, mud, rain, night, london, bruise"
c009,The dockside crate,"crate, dock, tar, boots, mud, rope, london, night"
c010,The vanished plate chest,"plate chest, servant, cab, london, night, boots"
c011,The forced scullery window,"window, scullery, boots, mud, rain, london, servant"
c012,The theft at the Diogenes Club,"club, greatcoat, tobacco, cab, london, night, glove"
c013,The stolen greatcoat,"greatcoat, cab, rain, london, tobacco, boots"
c014,The emptied till at Camberwell,"till, shop, boots, mud, night, london, bruise"
c015,The missing racing plate,"stable, straw, boots, mud, rain, groom, bruise"
c016,The chapel poor box,"chapel, poor box, boots, mud, candle, london, night"
c017,The stolen surgical case,"surgical case, laudanum, boots, cab, london, night"
c018,The lodging house trunk,"trunk, lodging house, boots, tobacco, london, rain"
c019,The burgled photographer's,"photographer, plate glass, boots, mud, london, night, glove"
c020,The rifled post bag,"post bag, telegram, boots, mud, rain, london, cab"
c021,The Stoke Moran bedroom,"bell rope, ventilator, whistle, bruise, night, safe, dog lash"
c022,The chemist's error at Pimlico,"chemist, laudanum, bottle, ledger, london, bruise"
c023,The bitter coffee,"coffee, bitter, laudanum, tremor, london, night, servant"
c024,The Devonshire root,"root, tremor, candle, night, bruise, fog"
c025,The tainted claret,"claret, decanter, tremor, servant, london, night, bruise"
c026,The apothecary's ledger,"apothecary, ledger, laudanum, ink stain, london, tobacco"
c027,The green phial,"phial, green, chemist, tremor, london, bruise, night"
c028,The dose at Norwood,"laudanum, bottle, tremor, night, bruise, servant, rain"
c029,The curious thirst,"thirst, tremor, water jug, night, london, bruise"
c030,The blue vitriol,"vitriol, burn, chemist, london, bruise, night, tobacco"
c031,The poisoned dart,"dart, blowpipe, creosote, bruise, night, london, footprint"
c032,The sailor's tin,"tin, tar, dock, tremor, bruise, london, night"
c033,The governess and the tonic,"tonic, governess, tremor, bottle, night, bruise"
c034,The tainted snuff,"snuff, tobacco, tremor, london, bruise, night, glove"
c035,The physician's black bag,"black bag, laudanum, physician, cab, london, rain, night"
c036,The letters at Appledore,"letters, safe, greatcoat, night, glove, bruise, london"
c037,The photographer's negative,"negative, photographer, cab, london, night, tobacco"
c038,The demand in violet ink,"violet ink, ink stain, letters, london, telegram, glove"
c039,The bank clerk's debt,"bank, ledger, clerk, london, tobacco, cab, bruise"
c040,The burnt fragment,"ash, grate, letters, tobacco, london, night, glove"
c041,The threat at the theatre,"theatre, letters, cab, london, night, greatcoat"
c042,The cabman's testimony,"cab, cabman, rain, mud, london, night, tobacco"
c043,The anonymous telegram,"telegram, post office, london, glove, tobacco, cab"
c044,The secretary's copy book,"copy book, ink stain, ledger, clerk, london, tobacco"
c045,The widow's annuity,"annuity, ledger, solicitor, london, bruise, glove"
c046,The music hall dresser,"music hall, dresser, letters, cab, london, night"
c047,The gambling note,"gambling, note, ledger, tobacco, london, night, bruise"
c048,The lady vanished at Charing Cross,"railway, trunk, cab, london, rain, boots, glove"
c049,The empty cab at Hyde Park,"cab, cabman, mud, rain, london, night, glove"
c050,The missing clerk of Threadneedle Street,"clerk, ledger, london, tobacco, cab, boots"
c051,The schoolmaster's bicycle,"bicycle, tyre, mud, rain, boots, gravel, bruise"
c052,The empty berth,"berth, ship, dock, trunk, rope, london, tar"
c053,The abandoned lodgings,"lodging house, trunk, ash, grate, london, tobacco, boots"
c054,The footprints on the moor,"footprint, mud, rain, moor, boots, fog, bruise"
c055,The unclaimed portmanteau,"portmanteau, railway, london, boots, mud, glove"
c056,The absent bridegroom,"wedding, cab, london, glove, telegram, night"
c057,The vanished chemist,"chemist, laudanum, ledger, london, boots, tobacco"
c058,The silent stable lad,"stable, straw, groom, bruise, mud, boots, rain"
c059,The lost despatch,"despatch, telegram, clerk, london, cab, glove, night"
c060,The boatman of Rotherhithe,"boatman, dock, tar, rope, creosote, river"
c061,Lauriston Gardens,"mud, rain, cab, boots, ring, gaslight, london, servant"
c062,The Brixton Road affair,"mud, rain, cab, boots, bruise, gaslight"
c063,The blow in the fog,"fog, bruise, boots, mud, london, night, gaslight, stick"
c064,The quarrel at the Alpha Inn,"inn, bruise, tobacco, boots, london, night, goose"
c065,The body on the towpath,"towpath, river, mud, rain, boots, bruise, rope"
c066,The staircase at Norwood,"staircase, bruise, boots, mud, night, london, ash"
c067,The gamekeeper's lodge,"lodge, gun, boots, mud, rain, bruise, dog lash"
c068,The riverside warehouse,"creosote, tar, boots, mud, bruise, rope"
c069,The struggle at the area steps,"area steps, bruise, boots, mud, rain, london, night"
c070,The blow with the poker,"poker, grate, bruise, ash, london, night, servant"
c071,The sailor's knife,"knife, sailor, dock, tar, bruise, tobacco, london"
c072,The empty revolver,"revolver, powder, bruise, night, london, glove, boots"
c073,The garrotting in Wapping,"rope, bruise, dock, night, london, mud, tar"
c074,The upset chair,"chair, struggle, bruise, ash, grate, london, night"
c075,The blow behind the ear,"bruise, boots, staircase, london, night, servant"
c076,The night watchman's round,"watchman, lantern, boots, mud, night, london, bruise"
c077,The gash on the wrist,"wrist, bruise, glove, blood, london, night, boots"
c078,The stable yard affray,"stable, straw, groom, bruise, mud, boots, night"
c079,The cab horse that bolted,"cab, cabman, horse, mud, rain, bruise, london"
c080,The shot in the fog,"fog, revolver, powder, bruise, night, london, mud"
c081,The red-headed applicant,"advertisement, cellar, clerk, london, tobacco, boots, spade"
c082,The forged endorsement,"endorsement, ink stain, ledger, clerk, london, glove"
c083,The engraver's plate,"engraver, plate, ink stain, cellar, london, tobacco"
c084,The doctored share list,"share list, ledger, clerk, london, telegram, tobacco"
c085,The false name at the hotel,"hotel, register, ink stain, cab, london, glove, boots"
c086,The three quarter's signature,"signature, ink stain, ledger, telegram, london, clerk"
c087,The counterfeit sovereigns,"sovereign, plaster of paris, cellar, london, tobacco, boots"
c088,The altered will,"will, solicitor, ink stain, ledger, london, glove"
c089,The insurance claim at Lloyd's,"insurance, ledger, clerk, london, telegram, tobacco"
c090,The bogus prospectus,"prospectus, ink stain, clerk, london, tobacco, cab"
