film_id,title,year,reviews,funniness
c001,Wild Garden,2013,"Every punchline is laboured. I found the whole thing riotous. A delightful hour that went past in ten minutes. The gags are vulgar and proud of it. The soundtrack is doing a lot of work. I saw it in a full theatre, which helped. The timing is hilarious and never lets up. Shot like a sitcom, which mostly works. Quietly witty in a way I did not expect.",5.8
c002,Deep Hour,2021,"Quietly clever in a way I did not expect. A hilarious hour that went past in ten minutes. That dinner-party sequence is charming. Shot like a sitcom, which mostly works. Genuinely inspired from the first scene.",8.1
c003,Great Manager,2023,"The timing is clever and never lets up. A hilarious hour that went past in ten minutes. The middle hour is tedious. Not for everyone, but I laughed. Ninety minutes, no padding. Quietly charming in a way I did not expect. A gross streak a mile wide. The cast is clearly enjoying itself. The supporting cast is inspired. A predictable retread of better comedies. One juvenile sequence I could have done without. More vulgar than it needed to be.",8.7
c004,Happy Roommate,2020,"Not for everyone, but I laughed. Quietly delightful in a way I did not expect. I found the whole thing charming. Genuinely hilarious from the first scene. Every punchline is laboured. The middle hour is boring.",6.0
c005,Quiet Cabin,2011,"The first act takes its time. Genuinely charming from the first scene. Ninety minutes, no padding. The gags are crude and proud of it. A hilarious hour that went past in ten minutes. The supporting cast is clever.",6.9
c006,Quiet Reunion,2023,The third act gets smutty. Worth seeing with an audience. The script is clever and never coasts.,6.2
c007,Spare Cabin,2005,"A crude streak a mile wide. The gags are gross and proud of it. The script is clever and never coasts. Ninety minutes, no padding. Quietly inspired in a way I did not expect.",7.7
c008,Last Roommate,2018,"I saw it in a full theatre, which helped. Ninety minutes, no padding. The supporting cast is witty. The soundtrack is doing a lot of work. The third act gets crude.",5.2
c009,Bitter Cousins,2018,"More crude than it needed to be. I saw it in a full theatre, which helped. The director trusts the actors. Genuinely riotous from the first scene. That dinner-party sequence is hilarious. Quietly delightful in a way I did not expect. The supporting cast is clever. Worth seeing with an audience.",7.5
c010,The Office,2024,"Quietly riotous in a way I did not expect. The first act takes its time. I found the whole thing gleeful. The cast is clearly enjoying itself. That dinner-party sequence is clever. Not for everyone, but I laughed.",7.1
c011,Summer Hour,2012,"The timing is delightful and never lets up. It gets unfunny once the premise runs out. I saw it in a full theatre, which helped. Quietly clever in a way I did not expect. That dinner-party sequence is witty. More juvenile than it needed to be.",5.8
c012,Bitter Garden,2022,"I found the whole thing riotous. A vulgar streak a mile wide. The gags are juvenile and proud of it. The script is witty and never coasts. It gets unfunny once the premise runs out. The third act gets crude. I saw it in a full theatre, which helped.",5.2
c013,Last Cabin,2023,"Shot like a sitcom, which mostly works. A smutty streak a mile wide. A laboured retread of better comedies. The ending is predictable. The third act gets vulgar. Not for everyone, but I laughed. Worth seeing with an audience.",3.2
c014,Quiet Office,1998,"It gets predictable once the premise runs out. A charming hour that went past in ten minutes. Every punchline is unfunny. I saw it in a full theatre, which helped. A laboured retread of better comedies.",2.6
c015,Small Garden,2016,"The supporting cast is riotous. That dinner-party sequence is clever. Genuinely charming from the first scene. Ninety minutes, no padding.",6.5
c016,Great Roommate,1998,Worth seeing with an audience. Every punchline is tedious. The timing is witty and never lets up. The gags are vulgar and proud of it.,4.6
c017,Long Office,2016,The director trusts the actors. A riotous hour that went past in ten minutes. I found the whole thing inspired. Genuinely charming from the first scene. The middle hour is predictable. The ending is tedious.,5.5
c018,Slow Lease,2024,"The middle hour is boring. Not for everyone, but I laughed. The timing is gleeful and never lets up.",3.5
c019,Deep Manager,2012,"The gags are smutty and proud of it. The ending is tedious. A clever hour that went past in ten minutes. Ninety minutes, no padding. The trailer gives away the best joke.",5.2
c020,The Bakery,2018,"Genuinely delightful from the first scene. I saw it in a full theatre, which helped. The timing is inspired and never lets up. The soundtrack is doing a lot of work. That dinner-party sequence is witty. A tedious retread of better comedies. Worth seeing with an audience.",6.4
c021,Summer Brunch,2018,"Every punchline is unfunny. Worth seeing with an audience. Ninety minutes, no padding. The third act gets gross. The middle hour is tedious. Quietly charming in a way I did not expect. I saw it in a full theatre, which helped.",5.6
c022,Wild Roommate,2012,Worth seeing with an audience. Genuinely charming from the first scene.,5.8
c023,Late Office,2021,"Shot like a sitcom, which mostly works. The gags are crude and proud of it. The script is witty and never coasts. I saw it in a full theatre, which helped. The supporting cast is hilarious. The timing is riotous and never lets up. The soundtrack is doing a lot of work.",6.6
c024,Spare Deposit,2008,"Quietly hilarious in a way I did not expect. Shot like a sitcom, which mostly works. A gross streak a mile wide. The gags are smutty and proud of it. Worth seeing with an audience. A clever hour that went past in ten minutes.",6.6
c025,Spare Detour,2000,"The ending is boring. Not for everyone, but I laughed. Genuinely riotous from the first scene. That dinner-party sequence is gleeful. The timing is hilarious and never lets up. The gags are crude and proud of it. I found the whole thing charming. An unfunny retread of better comedies. One gross sequence I could have done without. The trailer gives away the best joke.",8.3
c026,Long Reunion,2009,Worth seeing with an audience. The ending is unfunny. Quietly clever in a way I did not expect. The cast is clearly enjoying itself. The gags are vulgar and proud of it.,4.2
c027,Quiet Bakery,2007,"The middle hour is predictable. Shot like a sitcom, which mostly works. The first act takes its time. The timing is clever and never lets up. Quietly delightful in a way I did not expect. The gags are gross and proud of it. Ninety minutes, no padding. A juvenile streak a mile wide. The supporting cast is witty. One smutty sequence I could have done without.",6.9
