film_id,title,year,reviews,scariness
f001,Red House,2015,"I saw it in a full theatre, which helped. Genuinely ominous from the first frame. Not for everyone, but I was glad I went. Worth seeing with an audience.",4.5
f002,Deep Light,2002,"A tedious retread of better films. One gruesome sequence I had to look away from. I found the whole thing creepy. The third act is bloody. Not for everyone, but I was glad I went.",5.1
f003,Last Field,2021,"Not for everyone, but I was glad I went. Every beat is predictable. The ending is tame. The first act takes its time. The house itself is sinister. The middle hour is boring. The practical effects are the best part.",2.5
f004,Deep Hollow,2018,"The ending is boring. Not for everyone, but I was glad I went. The first act takes its time. The kills are brutal and inventive. It gets tame once the twist lands. Shot on 16mm and it shows, in a good way.",2.5
f005,Cold House,2016,"The house itself is terrifying. The director clearly loves the genre. One brutal sequence I had to look away from. The kills are gruesome and inventive. The score is unsettling and never lets up. The first act takes its time. The sound design alone is ominous. That long hallway shot is eerie. Shot on 16mm and it shows, in a good way.",9.3
f006,Night Woods,2022,Genuinely eerie from the first frame. The sound design alone is chilling. The kills are grisly and inventive. The middle hour is boring. The practical effects are the best part. The cast is doing real work here. Every beat is tedious. It gets silly once the twist lands.,4.4
f007,Red Well,2024,"The house itself is haunting. A grisly practical-effects showcase. Quietly chilling in a way I did not expect. Every beat is predictable. Ninety minutes, no padding. It gets tedious once the twist lands. Shot on 16mm and it shows, in a good way. I found the whole thing sinister. The cast is doing real work here.",6.5
f008,Low Hour,2020,"Quietly terrifying in a way I did not expect. The ending is boring. A creepy hour that I spent behind my hands. I saw it in a full theatre, which helped.",5.7
f009,Night Hollow,2007,"Not for everyone, but I was glad I went. I found the whole thing chilling. More gory than it needed to be. Every beat is tedious. The first act takes its time. Worth seeing with an audience. The middle hour is silly.",3.4
f010,Salt Light,2005,Quietly ominous in a way I did not expect. The trailer gives away too much.,4.5
f011,Pale Signal,2023,"The cast is doing real work here. The kills are bloody and inventive. I saw it in a full theatre, which helped. That long hallway shot is sinister.",5.0
f012,Red Tide,1998,The house itself is sinister. The middle hour is predictable. It gets boring once the twist lands. The practical effects are the best part. The sound design alone is chilling. Worth seeing with an audience. One grisly sequence I had to look away from. A creepy hour that I spent behind my hands. The cast is doing real work here. The ending is tame. Quietly unsettling in a way I did not expect.,8.1
f013,Winter Light,2022,Every beat is tedious. The middle hour is boring. Genuinely haunting from the first frame. The kills are grisly and inventive. It gets silly once the twist lands. The director clearly loves the genre.,2.8
f014,Bitter Signal,2019,Quietly creepy in a way I did not expect. I found the whole thing ominous. Worth seeing with an audience.,6.1
f015,Quiet Signal,2016,"I found the whole thing haunting. One grisly sequence I had to look away from. That long hallway shot is creepy. Every beat is silly. The practical effects are the best part. A bloody practical-effects showcase. The score is terrifying and never lets up. Ninety minutes, no padding. The director clearly loves the genre.",7.1
f016,Winter Garden,2009,The cast is doing real work here. A gory practical-effects showcase.,3.9
f017,Salt Well,2019,A gruesome practical-effects showcase. It gets tame once the twist lands. The score is eerie and never lets up. The trailer gives away too much. Every beat is boring. The third act is gory. The ending is tedious.,4.0
f018,Last Woods,2024,"Ninety minutes, no padding. The middle hour is predictable. It gets boring once the twist lands.",2.3
f019,Cold Door,2019,"That long hallway shot is creepy. Every beat is boring. Not for everyone, but I was glad I went. I saw it in a full theatre, which helped. I found the whole thing ominous.",5.5
f020,Deep Tide,2005,"The director clearly loves the genre. Every beat is tame. One grisly sequence I had to look away from. A brutal practical-effects showcase. Not for everyone, but I was glad I went. The trailer gives away too much.",4.2
f021,Pale Lantern,2024,"A gruesome practical-effects showcase. One bloody sequence I had to look away from. I found the whole thing chilling. The trailer gives away too much. The sound design alone is ominous. Not for everyone, but I was glad I went. An eerie hour that I spent behind my hands. The house itself is unsettling.",9.2
f022,Pale Well,2003,"The trailer gives away too much. That long hallway shot is sinister. I saw it in a full theatre, which helped. Ninety minutes, no padding. A predictable retread of better films. The third act is brutal.",4.0
f023,Black Field,2009,"One bloody sequence I had to look away from. That long hallway shot is creepy. Shot on 16mm and it shows, in a good way.",4.2
f024,Pale Field,2017,The third act is grisly. One gruesome sequence I had to look away from. A brutal practical-effects showcase. The practical effects are the best part. It gets tame once the twist lands. The middle hour is boring. Genuinely eerie from the first frame. The first act takes its time. The sound design alone is ominous.,7.1
f025,The Garden,2016,"The middle hour is predictable. A bloody practical-effects showcase. A terrifying hour that I spent behind my hands. One gruesome sequence I had to look away from. The director clearly loves the genre. A tame retread of better films. Ninety minutes, no padding.",3.3
f026,Winter Hour,2002,"The ending is tedious. The sound design alone is terrifying. The score is eerie and never lets up. The trailer gives away too much. Ninety minutes, no padding. The practical effects are the best part. Quietly unsettling in a way I did not expect.",6.1
f027,Cold Woods,2017,Every beat is tedious. Genuinely eerie from the first frame. The cast is doing real work here. The house itself is unsettling.,5.9
f028,Cold Tide,2011,The sound design alone is eerie. The ending is tedious. Worth seeing with an audience. Every beat is tame. The practical effects are the best part.,3.8
f029,Low Light,2007,"A tame retread of better films. A gory practical-effects showcase. The house itself is terrifying. That long hallway shot is eerie. Quietly unsettling in a way I did not expect. Not for everyone, but I was glad I went. I found the whole thing haunting.",8.6
f030,Bitter Door,2000,"I saw it in a full theatre, which helped. One gruesome sequence I had to look away from. The kills are grisly and inventive.",3.5
f031,Quiet Well,1999,"The ending is tedious. The score is creepy and never lets up. The director clearly loves the genre. The trailer gives away too much. Not for everyone, but I was glad I went.",3.8
f032,Winter Mirror,2013,The middle hour is silly. The first act takes its time. I found the whole thing ominous. The practical effects are the best part.,4.2
f033,Salt Signal,2002,The cast is doing real work here. A brutal practical-effects showcase. The middle hour is silly. Every beat is predictable. It gets boring once the twist lands. More grisly than it needed to be. Quietly unsettling in a way I did not expect. One bloody sequence I had to look away from.,3.1
f034,Bitter Room,2007,A grisly practical-effects showcase. One gruesome sequence I had to look away from. More brutal than it needed to be. Every beat is predictable. The first act takes its time.,3.6
f035,Night Mirror,1999,"The house itself is sinister. Ninety minutes, no padding. A grisly practical-effects showcase. One gory sequence I had to look away from. The trailer gives away too much. I saw it in a full theatre, which helped.",6.1
f036,Hollow Room,2013,"Not for everyone, but I was glad I went. I saw it in a full theatre, which helped. The cast is doing real work here. Every beat is boring. Quietly eerie in a way I did not expect. That long hallway shot is chilling.",5.4
